Group_name_size,Byte_size,Number of files,Number of pairs in similarity results,NO. of pairs with similarity score equals 1,NO. of pairs with 0.95 <= similarity score < 1,NO. of pairs with 0.9 <= similarity score < .95,NO. of pairs with 0.8 <= similarity score < .9
group_354450_size_342,354450,342,307,0,0,0,0
group_161262_size_2,161262,2,1,0,0,0,0
group_69310_size_2,69310,2,1,0,0,0,0
group_111752_size_3,111752,3,2,0,0,0,0
group_505106_size_86,505106,86,75,0,0,0,0
group_198754_size_2,198754,2,1,0,0,0,0
group_243732_size_2,243732,2,1,0,0,0,0
group_110490_size_3,110490,3,2,0,0,0,0
group_379522_size_4,379522,4,3,0,0,0,0
group_225148_size_2,225148,2,1,0,0,0,0
group_532072_size_57,532072,57,50,0,0,0,0
group_253020_size_6,253020,6,5,0,0,0,0
group_73706_size_3,73706,3,2,0,0,0,0
group_380914_size_360,380914,360,318,0,0,0,0
group_51286_size_5,51286,5,4,0,0,0,0
group_186656_size_2,186656,2,1,0,0,0,0
group_121036_size_2,121036,2,1,0,0,0,0
group_312130_size_4,312130,4,3,0,0,0,0
group_114096_size_3,114096,3,2,0,0,0,0
group_271782_size_5,271782,5,3,0,0,0,0
group_434962_size_59,434962,59,49,0,0,0,0
group_183378_size_352,183378,352,308,0,0,0,0
group_372274_size_335,372274,335,297,0,0,0,0
group_38290_size_6,38290,6,5,0,0,0,0
group_277336_size_178,277336,178,154,0,0,0,0
group_94714_size_2,94714,2,1,0,0,0,0
group_175678_size_2,175678,2,1,0,0,0,0
group_233776_size_5,233776,5,3,0,0,0,0
group_61048_size_2,61048,2,1,0,0,0,0
group_80074_size_2,80074,2,1,0,0,0,0
group_405790_size_7,405790,7,5,0,0,0,0
group_243794_size_323,243794,323,285,0,0,0,0
group_257840_size_21,257840,21,17,0,0,0,0
group_113318_size_11,113318,11,10,0,0,0,0
group_198146_size_2,198146,2,1,0,0,0,0
group_247740_size_830,247740,830,745,0,0,0,0
group_63250_size_277,63250,277,243,0,0,0,0
group_333864_size_3,333864,3,2,0,0,0,0
group_166438_size_3,166438,3,2,0,0,0,0
group_97224_size_3,97224,3,2,0,0,0,0
group_138630_size_6,138630,6,4,0,0,0,0
group_109718_size_3,109718,3,2,0,0,0,0
group_326258_size_295,326258,295,264,0,0,0,0
group_451570_size_41,451570,41,32,0,0,0,0
group_127182_size_650,127182,650,576,0,0,0,0
group_56134_size_2,56134,2,1,0,0,0,0
group_274828_size_2,274828,2,1,0,0,0,0
group_76640_size_2,76640,2,1,0,0,0,0
group_80742_size_2,80742,2,1,0,0,0,0
group_202686_size_2,202686,2,1,0,0,0,0
group_582984_size_3,582984,3,2,0,0,0,0
group_298162_size_331,298162,331,301,0,0,0,0
group_184272_size_3,184272,3,2,0,0,0,0
group_241670_size_58,241670,58,54,0,0,0,0
group_258034_size_362,258034,362,329,0,0,0,0
group_219218_size_404,219218,404,360,0,0,0,0
group_359474_size_192,359474,192,173,0,0,0,0
group_120242_size_360,120242,360,322,0,0,0,0
group_129304_size_6,129304,6,4,0,0,0,0
group_138650_size_2,138650,2,1,0,0,0,0
group_491890_size_7,491890,7,6,0,0,0,0
group_289332_size_2,289332,2,1,0,0,0,0
group_86728_size_2,86728,2,1,0,0,0,0
group_98522_size_6,98522,6,5,0,0,0,0
group_328146_size_262,328146,262,231,0,0,0,0
group_397874_size_124,397874,124,113,0,0,0,0
group_213788_size_2,213788,2,1,0,0,0,0
group_124530_size_117,124530,117,100,0,0,0,0
group_193898_size_3,193898,3,2,0,0,0,0
group_246482_size_406,246482,406,367,0,0,0,0
group_51142_size_2,51142,2,1,0,0,0,0
group_454248_size_87,454248,87,73,0,0,0,0
group_115126_size_2,115126,2,1,0,0,0,0
group_361394_size_228,361394,228,213,0,0,0,0
