File Size with Header (bytes),Group Size
17298,1
17362,1
17394,1
17458,3
17490,8
17522,2
17554,3
17618,1
17650,1
17682,2
17714,1
17842,1
17938,1
17970,1
18002,2
18034,9
18066,1
18194,1
18258,4
18322,1
18354,1
18386,2
18418,1
18482,1
18546,1
18578,7
18642,2
18674,1
18834,1
18866,2
18898,2
18930,1
19058,1
19090,2
19120,1
19122,5
19218,1
19250,1
19346,1
19378,2
19442,1
19474,1
19506,2
19538,2
19602,1
19634,3
19666,12
19730,3
19762,1
19794,1
19858,4
19922,2
19986,1
20018,2
20050,1
20082,2
20114,1
20178,4
20210,10
20274,3
20338,2
20370,2
20498,2
20530,1
20594,1
20626,3
20658,3
20690,2
20722,2
20754,6
20786,1
20818,3
20850,2
20882,4
20914,1
20978,1
21010,1
21042,3
21074,1
21106,2
21138,2
21170,2
21202,1
21234,2
21266,12
21298,5
21330,2
21394,1
21458,2
21490,1
21618,1
21650,1
21682,1
21714,1
21778,5
21810,11
21842,4
21874,1
21906,1
21938,4
21970,1
22002,1
22034,1
22098,6
22162,2
22194,3
22226,2
22258,3
22290,1
22354,10
22418,3
22450,2
22482,2
22578,3
22610,1
22642,4
22674,3
22738,4
22770,2
22802,2
22834,2
22866,2
22898,12
22930,3
22962,2
22994,2
23026,1
23058,1
23090,1
23122,1
23154,1
23186,1
23218,1
23250,1
23282,3
23314,1
23378,1
23442,18
23506,1
23538,2
23570,1
23602,1
23634,1
23666,1
23698,3
23730,2
23794,2
23826,1
23954,2
23986,14
24018,4
24050,1
24082,1
24114,1
24146,2
24178,1
24242,1
24274,1
24338,4
24370,4
24434,1
24466,2
24498,5
24530,7
24544,1
24562,2
24594,5
24690,4
24722,2
24754,2
24786,2
24818,2
24882,2
24946,1
24978,5
25042,5
25074,8
25106,1
25138,2
25234,2
25298,2
25394,1
25426,2
25458,3
25522,1
25554,1
25586,14
25618,7
25650,5
25682,1
25746,2
25810,2
25842,3
25874,3
25906,2
25938,5
26002,1
26034,2
26066,2
26098,3
26130,11
26162,2
26194,3
26258,3
26290,1
26322,2
26354,2
26386,1
26418,4
26482,3
26514,2
26546,5
26578,3
26642,1
26674,20
26706,3
26738,2
26770,2
26834,4
26898,7
26930,2
26962,2
26994,3
27058,4
27090,2
27122,2
27154,1
27186,1
27218,10
27250,1
27282,6
